address,category,claimed_status,first_review,health_rating,id,info,last_review,latitude,longitude,name,neighborhood,permanently_closed,phone,price_range,ratings,ratings_histogram,reviews,url,website,working_hours
"300 W 24th St Chicago, IL 60616 b/t Calumet Ave & Cottage Grove Ave Chinatown",Italian,,2007-07-30,,50_bertuccis-corner,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Divey, Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",2017-08-31,41.849393,-87.63484,Bertucci’s Corner,Chinatown,1,(312) 225-2848,$11-30,4.0,"[{5: 17}, {4: 16}, {3: 8}, {2: 1}, {1: 4}]",46.0,,,[]
"2834 N Southport Ave Chicago, IL 60657 b/t Wolfram St & George St Lakeview","French,American (New)",Claimed,2015-02-07,,73_mirador,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Intimate, Classy'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'No'}]",2017-08-24,41.933505,-87.663802,Mirador,Lakeview,1,(773) 904-7431,$11-30,4.5,"[{5: 30}, {4: 8}, {3: 3}, {2: 4}, {1: 0}]",45.0,https://www.yelp.com/biz/mirador-chicago,http://miradorrestaurant.com/,[]
"923 W Weed St Chicago, IL 60642 Near North Side","Barbeque,Music Venues",Claimed,2015-04-18,,35_dinosaur-bar-b-que,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Lunch, Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Best Nights': 'Sat'}, {'Coat Check': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}]",2017-08-07,41.909549,-87.652034,Dinosaur Bar-B-Que,Near North Side,1,(312) 462-1053,$11-30,3.5,"[{5: 69}, {4: 68}, {3: 42}, {2: 41}, {1: 15}]",235.0,https://www.yelp.com/biz/dinosaur-bar-b-que-chicago,http://www.dinosaurbarbque.com/bbq-chicago,[]
"4749 N Spaulding Ave Chicago, IL 60625 b/t Leland Ave & Lawrence Ave Albany Park",Coffee & Tea,Claimed,2015-09-24,,105_cafe-chien,"[{'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Caters': 'No'}, {'Good for Working': 'Yes'}, {'Gender Neutral Restrooms': 'Yes'}]",2017-08-04,41.968092,-87.710801,Cafe Chien,Albany Park,1,(312) 493-2658,Inexpensive,4.5,"[{5: 30}, {4: 12}, {3: 3}, {2: 1}, {1: 0}]",46.0,,http://www.cafechien.com,[]
"67 E Cermak Rd Chicago, IL 60616 b/t Federal St & Michigan Ave Near Southside",Smokehouse,Claimed,2016-10-19,,371_rylons-smokehouse,"[{'Take-out': 'No'}, {'Accepts Credit Cards': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'No'}, {'Caters': 'No'}]",2017-07-29,41.852637,-87.624399,Rylon’s Smokehouse,Near Southside,1,(312) 794-5901,Moderate,3.0,"[{5: 10}, {4: 12}, {3: 10}, {2: 9}, {1: 18}]",59.0,,http://www.RylonsSmokehouse.com,[]
"1301 N State Pkwy Chicago, IL 60610 b/t Banks St & Goethe St Gold Coast, Near North Side",American (New),Claimed,2011-09-16,,486_pump-room,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Trendy, Classy, Upscale'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'No'}, {'Gender Neutral Restrooms': 'Yes'}]",2017-07-29,41.90605,-87.62831700000001,Pump Room,"Gold Coast, Near North Side",1,(312) 787-3700,$31-60,3.5,"[{5: 214}, {4: 248}, {3: 99}, {2: 78}, {1: 46}]",685.0,,http://www.pumproom.com/,[]
"1901 N Halsted St Chicago, IL 60614 b/t Armitage Ave & Wisconsin St Lincoln Park","Vegetarian,Vegan,Live/Raw Food",Claimed,2006-06-23,,288_karyns-cooked,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Street, Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",2017-07-23,41.916034,-87.64814100000001,Karyn’s,Lincoln Park,1,(312) 255-1590,$11-30,3.0,"[{5: 76}, {4: 66}, {3: 44}, {2: 45}, {1: 52}]",283.0,https://www.yelp.com/biz/karyns-cooked-chicago,https://karynraw.com/restaurants/raw-bistro/,[]
"4662 N Broadway Chicago, IL 60640 b/t Leland Ave & Clifton Ave Uptown",American (New),Claimed,2014-01-11,,2_42-grams,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",2017-07-17,41.967116,-87.658568,42 grams,Uptown,1,,Above $61,4.5,"[{5: 64}, {4: 6}, {3: 5}, {2: 1}, {1: 4}]",80.0,https://www.yelp.com/biz/42-grams-chicago,http://42GramsChicago.com,[]
"5624 N Broadway Ave Chicago, IL 60660 b/t Bryn Mawr Ave & United States Highway 14 Edgewater","Pizza,Italian",Claimed,2007-07-17,,5_apart-pizza-company,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",2017-07-13,41.984456,-87.66038,Apart Pizza Company,Edgewater,1,,$11-30,3.5,"[{5: 110}, {4: 83}, {3: 34}, {2: 28}, {1: 42}]",297.0,https://www.yelp.com/biz/apart-pizza-company-chicago,http://www.apartpizzacompany.com,[]
"15 W Hubbard St Chicago, IL 60654 Near North Side","Mexican,Bars",Claimed,2010-04-27,,176_dos-diablos,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",2017-06-25,41.890008,-87.628553,Dos Diablos Mexican Cantina,Near North Side,1,(312) 245-3100,$11-30,3.0,"[{5: 23}, {4: 56}, {3: 59}, {2: 47}, {1: 33}]",218.0,https://www.yelp.com/biz/dos-diablos-chicago,http://www.dosdiabloschicago.com,[]
